num_clauses,num_vars,num_literals,temps,memUsage
2172000,21,1,0.000000,34749156
2174000,20,2,0.000000,34783588
2176000,17,2,0.000000,34810688
2178000,31,1,0.000000,34843456
2180000,6,2,0.000000,34872268
2182000,34,3,0.000000,34915376
2184000,45,3,0.000000,34937960
2186000,33,2,0.000000,34978564
2188000,33,1,0.000000,35009628
2190000,24,1,0.000000,35044724
2192000,17,2,0.000000,35074176
2194000,18,3,0.000000,35108712
2196000,40,3,0.015000,35134252
2198000,15,3,0.000000,35172824
2200000,34,2,0.000000,35197732
2202000,35,1,0.000000,35240140
2204000,22,2,0.000000,35268308
2206000,13,2,0.000000,35292836
2208000,35,2,0.000000,35335276
2210000,35,3,0.000000,35351176
2212000,49,2,0.000000,35384768
2214000,20,1,0.000000,35415056
2216000,49,3,0.010000,35462488
2218000,41,1,0.000000,35481860
2220000,39,3,0.000000,35524184
2222000,2,1,0.000000,35547312
2224000,34,1,0.015000,35592288
2226000,45,3,0.000000,35619112
2228000,25,3,0.000000,35641336
2230000,11,3,0.000000,35676344
2232000,50,3,0.000000,35715804
2234000,27,2,0.000000,35741408
2236000,4,3,0.000000,35787244
2238000,7,1,0.000000,35805356
2240000,32,2,0.000000,35840804
2242000,25,3,0.000000,35875244
2244000,31,1,0.000000,35904432
2246000,4,3,0.000000,35931712
2248000,36,1,0.003000,35966272
2250000,50,3,0.000000,36003584
2252000,34,2,0.000000,36035848
2254000,19,2,0.000000,36062620
2256000,48,2,0.000000,36098288
2258000,9,3,0.000000,36129312
2260000,9,3,0.000000,36165368
2262000,9,2,0.000000,36184728
2264000,38,3,0.000000,36222304
2266000,38,1,0.000000,36256380
2268000,49,2,0.000000,36279064
2270000,46,1,0.000000,36317476
2272000,10,3,0.000000,36352100
2274000,20,3,0.000000,36383184
2276000,43,2,0.000000,36413800
2278000,4,1,0.000000,36450076
2280000,47,1,0.000000,36483028
2282000,46,1,0.000000,36516892
2284000,13,2,0.000000,36543264
2286000,34,1,0.000000,36573628
2288000,7,1,0.000000,36604328
2290000,39,2,0.000000,36648228
2292000,45,2,0.000000,36676312
2294000,16,3,0.000000,36704068
2296000,23,1,0.000000,36739448
2298000,21,3,0.001000,36772232
2300000,28,2,0.000000,36802120
2302000,4,3,0.000000,36835252
2304000,25,1,0.000000,36870620
2306000,48,2,0.000000,36897880
2308000,8,3,0.000000,36924940
2310000,22,2,0.000000,36955508
2312000,3,2,0.000000,36985908
2314000,38,1,0.000000,37032428
2316000,41,3,0.000000,37051044
2318000,31,3,0.000000,37074596
2320000,3,2,0.000000,37115072
2322000,9,2,0.000000,37156072
2324000,49,2,0.000000,37186740
2326000,17,2,0.000000,37213764
2328000,4,3,0.007000,37244552
2330000,29,3,0.000000,37274956
2332000,39,3,0.000000,37312096
2334000,34,1,0.000000,37349220
2336000,42,2,0.000000,37374156
2338000,2,2,0.000000,37408524
2340000,21,2,0.000000,37439920
2342000,26,1,0.000000,37458968
2344000,23,3,0.000000,37514076
2346000,21,3,0.000000,37529044
2348000,8,3,0.000000,37565728
2350000,36,2,0.000000,37597480
2352000,19,3,0.000000,37624404
2354000,27,2,0.000000,37660160
2356000,25,2,0.000000,37692248
2358000,30,3,0.000000,37734556
2360000,43,1,0.000000,37768236
2362000,28,1,0.000000,37785904
2364000,22,1,0.000000,37819780
2366000,11,3,0.000000,37853660
2368000,20,3,0.000000,37884932
2370000,27,2,0.000000,37913772
2372000,22,2,0.000000,37946068
2374000,31,3,0.000000,37984332
2376000,14,1,0.000000,38022544
2378000,2,3,0.000000,38055348
2380000,37,2,0.000000,38075308
2382000,1,3,0.000000,38112604
2384000,13,3,0.000000,38144952
2386000,34,3,0.000000,38168812
2388000,32,1,0.000000,38192696
2390000,11,3,0.000000,38236688
2392000,33,3,0.000000,38273628
2394000,8,1,0.000000,38303684
2396000,35,1,0.000000,38339236
2398000,43,3,0.000000,38367904
2400000,6,2,0.000000,38402376
2402000,31,2,0.000000,38435084
2404000,24,2,0.000000,38463088
2406000,44,1,0.000000,38495716
2408000,8,3,0.016000,38527916
2410000,3,1,0.000000,38550952
2412000,25,1,0.000000,38590628
2414000,7,3,0.000000,38619200
2416000,48,1,0.000000,38660508
2418000,12,2,0.000000,38683068
2420000,8,3,0.000000,38722032
2422000,45,2,0.000000,38760552
2424000,22,3,0.000000,38782884
2426000,26,2,0.000000,38809912
2428000,18,2,0.000000,38850020
2430000,5,3,0.000000,38875048
2432000,42,2,0.000000,38921292
2434000,22,3,0.015000,38945416
2436000,50,3,0.000000,38977920
2438000,34,2,0.000000,39008440
2440000,3,2,0.000000,39045792
2442000,11,2,0.000000,39082056
2444000,50,2,0.006000,39109968
2446000,12,3,0.000000,39136876
2448000,35,1,0.000000,39168988
2450000,26,3,0.000000,39201872
2452000,43,1,0.000000,39234020
2454000,16,1,0.000000,39262092
2456000,33,3,0.004000,39291820
2458000,46,2,0.000000,39333448
2460000,36,2,0.000000,39364348
2462000,28,3,0.000000,39395728
2464000,29,1,0.000000,39424148
2466000,26,1,0.016000,39460656
2468000,49,3,0.000000,39485068
2470000,6,1,0.000000,39509256
2472000,11,3,0.000000,39545892
2474000,31,2,0.000000,39583896
2476000,46,1,0.000000,39621724
2478000,28,3,0.000000,39638516
2480000,27,2,0.000000,39681404
2482000,15,1,0.000000,39696480
2484000,18,3,0.015000,39746884
2486000,27,2,0.003000,39772104
2488000,35,2,0.014000,39809512
2490000,5,3,0.000000,39841564
2492000,9,3,0.000000,39872124
2494000,28,1,0.000000,39898008
2496000,30,3,0.000000,39934220
2498000,42,1,0.000000,39966092
2500000,42,3,0.000000,40004960
2502000,23,1,0.000000,40038816
2504000,23,1,0.000000,40059560
2506000,2,1,0.000000,40083204
2508000,23,3,0.009000,40127480
2510000,11,2,0.000000,40153608
2512000,28,3,0.000000,40197920
2514000,13,1,0.000000,40232116
2516000,28,3,0.000000,40259476
2518000,38,3,0.000000,40296228
2520000,24,3,0.000000,40313352
2522000,27,3,0.000000,40355772
2524000,10,2,0.001000,40382864
2526000,22,3,0.000000,40412476
2528000,43,3,0.000000,40458456
2530000,19,1,0.000000,40480744
2532000,30,2,0.000000,40508828
2534000,8,3,0.000000,40546100
2536000,10,1,0.000000,40583072
2538000,42,3,0.000000,40602292
2540000,30,2,0.000000,40640104
2542000,36,3,0.000000,40670820
2544000,19,2,0.000000,40704620
2546000,32,3,0.000000,40735816
2548000,14,1,0.000000,40774176
2550000,12,1,0.000000,40803204
2552000,5,3,0.000000,40829128
2554000,30,2,0.000000,40864896
2556000,12,2,0.000000,40889680
