nbr_clauses,temps,memUsage
992,0.000000,2976
994,0.000000,2982
996,0.000000,2988
998,0.000000,2994
1000,0.000000,3000
1002,0.000000,3006
1004,0.000000,3012
1006,0.000000,3018
1008,0.000000,3024
1010,0.000000,3030
1012,0.001000,3036
1014,0.000000,3042
1016,0.000000,3048
1018,0.000000,3054
1020,0.000000,3060
1022,0.000000,3066
1024,0.000000,3072
1026,0.000000,3078
1028,0.000000,3084
1030,0.000000,3090
1032,0.000000,3096
1034,0.000000,3102
1036,0.000000,3108
1038,0.000000,3114
1040,0.000000,3120
1042,0.000000,3126
1044,0.000000,3132
1046,0.000000,3138
1048,0.000000,3144
1050,0.000000,3150
1052,0.000000,3156
1054,0.000000,3162
1056,0.000000,3168
1058,0.000000,3174
1060,0.000000,3180
1062,0.000000,3186
1064,0.000000,3192
1066,0.000000,3198
1068,0.000000,3204
1070,0.000000,3210
1072,0.000000,3216
1074,0.000000,3222
1076,0.001000,3228
1078,0.000000,3234
1080,0.000000,3240
1082,0.000000,3246
1084,0.000000,3252
1086,0.000000,3258
1088,0.000000,3264
1090,0.000000,3270
1092,0.000000,3276
1094,0.000000,3282
1096,0.000000,3288
1098,0.000000,3294
1100,0.000000,3300
1102,0.000000,3306
1104,0.000000,3312
1106,0.000000,3318
1108,0.000000,3324
1110,0.000000,3330
1112,0.000000,3336
1114,0.000000,3342
1116,0.000000,3348
1118,0.000000,3354
1120,0.000000,3360
1122,0.000000,3366
1124,0.000000,3372
1126,0.000000,3378
1128,0.000000,3384
1130,0.000000,3390
1132,0.000000,3396
1134,0.000000,3402
1136,0.000000,3408
1138,0.000000,3414
1140,0.000000,3420
1142,0.000000,3426
1144,0.000000,3432
1146,0.000000,3438
1148,0.000000,3444
1150,0.000000,3450
1152,0.000000,3456
1154,0.000000,3462
1156,0.000000,3468
1158,0.000000,3474
1160,0.000000,3480
1162,0.000000,3486
1164,0.000000,3492
1166,0.000000,3498
1168,0.000000,3504
1170,0.000000,3510
1172,0.000000,3516
1174,0.000000,3522
1176,0.000000,3528
1178,0.000000,3534
1180,0.000000,3540
1182,0.000000,3546
1184,0.000000,3552
1186,0.000000,3558
1188,0.000000,3564
1190,0.000000,3570
1192,0.001000,3576
1194,0.000000,3582
1196,0.000000,3588
1198,0.000000,3594
1200,0.000000,3600
1202,0.000000,3606
1204,0.000000,3612
1206,0.000000,3618
1208,0.000000,3624
1210,0.000000,3630
1212,0.000000,3636
1214,0.000000,3642
1216,0.000000,3648
1218,0.000000,3654
1220,0.000000,3660
1222,0.000000,3666
1224,0.000000,3672
1226,0.000000,3678
1228,0.000000,3684
1230,0.000000,3690
1232,0.000000,3696
1234,0.000000,3702
1236,0.000000,3708
1238,0.000000,3714
1240,0.000000,3720
1242,0.001000,3726
1244,0.000000,3732
1246,0.000000,3738
1248,0.000000,3744
1250,0.000000,3750
1252,0.000000,3756
1254,0.000000,3762
1256,0.000000,3768
1258,0.000000,3774
1260,0.000000,3780
1262,0.000000,3786
1264,0.000000,3792
1266,0.000000,3798
1268,0.000000,3804
1270,0.000000,3810
1272,0.000000,3816
1274,0.000000,3822
1276,0.001000,3828
1278,0.000000,3834
1280,0.000000,3840
1282,0.000000,3846
1284,0.000000,3852
1286,0.000000,3858
1288,0.000000,3864
1290,0.000000,3870
1292,0.000000,3876
1294,0.000000,3882
1296,0.000000,3888
1298,0.000000,3894
1300,0.000000,3900
1302,0.000000,3906
1304,0.000000,3912
1306,0.000000,3918
1308,0.000000,3924
1310,0.001000,3930
1312,0.000000,3936
1314,0.000000,3942
1316,0.000000,3948
1318,0.000000,3954
1320,0.000000,3960
1322,0.000000,3966
1324,0.000000,3972
1326,0.000000,3978
1328,0.000000,3984
1330,0.000000,3990
1332,0.000000,3996
1334,0.000000,4002
1336,0.000000,4008
1338,0.000000,4014
1340,0.000000,4020
1342,0.000000,4026
1344,0.000000,4032
1346,0.000000,4038
1348,0.000000,4044
1350,0.000000,4050
1352,0.000000,4056
1354,0.000000,4062
1356,0.000000,4068
1358,0.000000,4074
1360,0.000000,4080
1362,0.000000,4086
1364,0.000000,4092
1366,0.000000,4098
1368,0.000000,4104
1370,0.000000,4110
1372,0.000000,4116
1374,0.000000,4122
1376,0.000000,4128
1378,0.000000,4134
1380,0.000000,4140
1382,0.000000,4146
1384,0.000000,4152
1386,0.000000,4158
1388,0.000000,4164
1390,0.000000,4170
1392,0.000000,4176
1394,0.000000,4182
1396,0.000000,4188
1398,0.000000,4194
1400,0.000000,4200
1402,0.000000,4206
1404,0.000000,4212
1406,0.000000,4218
1408,0.000000,4224
1410,0.000000,4230
1412,0.000000,4236
1414,0.000000,4242
1416,0.000000,4248
1418,0.000000,4254
1420,0.000000,4260
1422,0.001000,4266
1424,0.000000,4272
1426,0.000000,4278
1428,0.000000,4284
1430,0.000000,4290
1432,0.000000,4296
1434,0.000000,4302
1436,0.000000,4308
1438,0.000000,4314
1440,0.000000,4320
1442,0.000000,4326
1444,0.000000,4332
1446,0.000000,4338
1448,0.000000,4344
1450,0.000000,4350
1452,0.000000,4356
1454,0.000000,4362
1456,0.000000,4368
1458,0.001000,4374
1460,0.000000,4380
1462,0.000000,4386
1464,0.000000,4392
1466,0.000000,4398
1468,0.000000,4404
1470,0.000000,4410
1472,0.000000,4416
1474,0.000000,4422
1476,0.000000,4428
1478,0.000000,4434
1480,0.000000,4440
1482,0.000000,4446
1484,0.000000,4452
1486,0.000000,4458
1488,0.000000,4464
1490,0.000000,4470
1492,0.000000,4476
1494,0.000000,4482
1496,0.000000,4488
1498,0.000000,4494
1500,0.000000,4500
1502,0.000000,4506
1504,0.000000,4512
1506,0.000000,4518
1508,0.000000,4524
1510,0.000000,4530
1512,0.000000,4536
1514,0.001000,4542
1516,0.000000,4548
1518,0.000000,4554
1520,0.000000,4560
1522,0.000000,4566
1524,0.000000,4572
1526,0.000000,4578
1528,0.000000,4584
1530,0.000000,4590
1532,0.000000,4596
1534,0.000000,4602
1536,0.000000,4608
1538,0.000000,4614
1540,0.000000,4620
1542,0.000000,4626
1544,0.000000,4632
1546,0.000000,4638
1548,0.000000,4644
1550,0.000000,4650
1552,0.000000,4656
1554,0.000000,4662
1556,0.000000,4668
1558,0.000000,4674
1560,0.000000,4680
1562,0.000000,4686
1564,0.000000,4692
1566,0.000000,4698
1568,0.000000,4704
1570,0.000000,4710
