nbr_clauses,temps,memUsage
502,0.000000,1514
504,0.000000,1520
506,0.000000,1526
508,0.000000,1532
510,0.000000,1538
512,0.000000,1544
514,0.000000,1550
516,0.000000,1556
518,0.000000,1562
520,0.000000,1568
522,0.000000,1574
524,0.000000,1580
526,0.000000,1586
528,0.000000,1592
530,0.000000,1598
532,0.000000,1604
534,0.000000,1610
536,0.000000,1616
538,0.000000,1622
540,0.000000,1628
542,0.000000,1634
544,0.000000,1640
546,0.000000,1646
548,0.000000,1652
550,0.000000,1658
552,0.000000,1664
554,0.000000,1670
556,0.000000,1676
558,0.000000,1682
560,0.000000,1688
562,0.000000,1694
564,0.000000,1700
566,0.000000,1706
568,0.000000,1712
570,0.000000,1718
572,0.000000,1724
574,0.000000,1730
576,0.000000,1736
578,0.000000,1742
580,0.000000,1748
582,0.000000,1754
584,0.000000,1760
586,0.000000,1766
588,0.000000,1772
590,0.000000,1778
592,0.000000,1784
594,0.000000,1790
596,0.000000,1796
598,0.000000,1802
600,0.000000,1808
602,0.000000,1814
604,0.000000,1820
606,0.000000,1826
608,0.000000,1832
610,0.000000,1838
612,0.000000,1844
614,0.000000,1850
616,0.000000,1856
618,0.000000,1862
620,0.000000,1868
622,0.000000,1874
624,0.000000,1880
626,0.000000,1886
628,0.000000,1892
630,0.000000,1898
632,0.000000,1904
634,0.000000,1910
636,0.000000,1916
638,0.000000,1922
640,0.000000,1928
642,0.000000,1934
644,0.000000,1940
646,0.000000,1946
648,0.000000,1952
650,0.000000,1958
652,0.000000,1964
654,0.000000,1970
656,0.000000,1976
658,0.000000,1982
660,0.000000,1988
662,0.000000,1994
664,0.000000,2000
666,0.000000,2006
668,0.000000,2012
670,0.000000,2018
672,0.000000,2024
674,0.000000,2030
676,0.000000,2036
678,0.000000,2042
680,0.000000,2048
682,0.000000,2054
684,0.000000,2060
686,0.000000,2066
688,0.000000,2072
690,0.000000,2078
692,0.000000,2084
694,0.000000,2090
696,0.000000,2096
698,0.000000,2102
700,0.000000,2108
702,0.000000,2114
704,0.000000,2120
706,0.000000,2126
708,0.000000,2132
710,0.000000,2138
712,0.000000,2144
714,0.000000,2150
716,0.000000,2156
718,0.000000,2162
720,0.000000,2168
722,0.000000,2174
724,0.000000,2180
726,0.000000,2186
728,0.000000,2192
730,0.000000,2198
732,0.000000,2204
734,0.000000,2210
736,0.000000,2216
738,0.000000,2222
740,0.000000,2228
742,0.000000,2234
744,0.000000,2240
746,0.000000,2246
748,0.000000,2252
750,0.000000,2258
752,0.000000,2264
754,0.000000,2270
756,0.000000,2276
758,0.000000,2282
760,0.000000,2288
762,0.000000,2294
764,0.000000,2300
766,0.000000,2306
768,0.000000,2312
770,0.000000,2318
772,0.000000,2324
774,0.000000,2330
776,0.000000,2336
778,0.000000,2342
780,0.000000,2348
782,0.000000,2354
784,0.003000,2360
786,0.000000,2366
788,0.000000,2372
790,0.000000,2378
792,0.000000,2384
794,0.000000,2390
796,0.000000,2396
798,0.000000,2402
800,0.000000,2408
